Model.name,Eval.metric,Testing.data,Evaluating.data,Cutoff,Sensitivity,Specificity,sps
GAM_RUN5_PA1,ROC,0.932,NA,124,97.778,85,Acla
GAM_RUN5_PA1,FAR,0.636,NA,938,62.222,94.333,Acla
GAM_RUN5_PA1,ACCURACY,0.904,NA,938,62.222,94.333,Acla
GAM_RUN5_PA1,SR,0.636,NA,938,62.222,94.333,Acla
MAXENT.Phillips_RUN1_PA2,TSS,0.732,NA,126,82.222,91,Acla
MAXENT.Phillips_RUN1_PA2,ROC,0.894,NA,48.5,86.667,87.333,Acla
MAXENT.Phillips_RUN1_PA2,FAR,0.635,NA,692,73.333,93.667,Acla
MAXENT.Phillips_RUN1_PA2,ACCURACY,0.91,NA,692,73.333,93.667,Acla
MAXENT.Phillips_RUN1_PA2,SR,0.635,NA,692,73.333,93.667,Acla
GLM_RUN1_PA2,TSS,0.806,NA,770,88.889,91.667,Acla
GLM_RUN1_PA2,ROC,0.938,NA,767.5,88.889,91.667,Acla
GLM_RUN1_PA2,FAR,0.731,NA,939,42.222,97.333,Acla
GLM_RUN1_PA2,ACCURACY,0.919,NA,892,66.667,95,Acla
GLM_RUN1_PA2,SR,0.731,NA,939,42.222,97.333,Acla
ANN_RUN1_PA2,TSS,0.79,NA,550,93.333,85.667,Acla
ANN_RUN1_PA2,ROC,0.918,NA,549.5,93.333,85.667,Acla
ANN_RUN1_PA2,FAR,0.692,NA,942,20,98.667,Acla
ANN_RUN1_PA2,ACCURACY,0.893,NA,913,44.444,96,Acla
ANN_RUN1_PA2,SR,0.692,NA,942,20,98.667,Acla
RF_RUN1_PA2,TSS,0.829,NA,446,88.889,94,Acla
RF_RUN1_PA2,ROC,0.958,NA,444.5,88.889,94,Acla
RF_RUN1_PA2,FAR,0.889,NA,980,53.333,99,Acla
RF_RUN1_PA2,ACCURACY,0.942,NA,782,77.778,96.667,Acla
RF_RUN1_PA2,SR,0.889,NA,980,53.333,99,Acla
GAM_RUN1_PA2,TSS,0.787,NA,632,86.667,92,Acla
GAM_RUN1_PA2,ROC,0.934,NA,131.5,93.333,85.333,Acla
GAM_RUN1_PA2,FAR,0.661,NA,856,82.222,93.667,Acla
GAM_RUN1_PA2,ACCURACY,0.922,NA,856,82.222,93.667,Acla
GAM_RUN1_PA2,SR,0.661,NA,856,82.222,93.667,Acla
MAXENT.Phillips_RUN2_PA2,TSS,0.756,NA,71,88.889,86.667,Acla
MAXENT.Phillips_RUN2_PA2,ROC,0.887,NA,74.5,88.889,86.667,Acla
MAXENT.Phillips_RUN2_PA2,FAR,0.667,NA,611,53.333,96,Acla
MAXENT.Phillips_RUN2_PA2,ACCURACY,0.904,NA,343,66.667,94,Acla
MAXENT.Phillips_RUN2_PA2,SR,0.667,NA,611,53.333,96,Acla
GLM_RUN2_PA2,TSS,0.779,NA,633,88.889,89,Acla
GLM_RUN2_PA2,ROC,0.949,NA,634.5,88.889,89,Acla
GLM_RUN2_PA2,FAR,0.867,NA,945,31.111,99,Acla
GLM_RUN2_PA2,ACCURACY,0.925,NA,860,68.889,96,Acla
GLM_RUN2_PA2,SR,0.867,NA,945,31.111,99,Acla
ANN_RUN2_PA2,TSS,0.773,NA,283,86.667,90.667,Acla
ANN_RUN2_PA2,ROC,0.926,NA,282.5,86.667,90.667,Acla
ANN_RUN2_PA2,FAR,0.719,NA,928,51.111,97,Acla
ANN_RUN2_PA2,ACCURACY,0.925,NA,742.5,75.556,95,Acla
ANN_RUN2_PA2,SR,0.719,NA,928,51.111,97,Acla
RF_RUN2_PA2,TSS,0.822,NA,250.5,88.889,93.333,Acla
RF_RUN2_PA2,ROC,0.954,NA,251.5,88.889,93.333,Acla
RF_RUN2_PA2,FAR,0.818,NA,990,42.222,98.333,Acla
RF_RUN2_PA2,ACCURACY,0.933,NA,613,73.333,96.333,Acla
RF_RUN2_PA2,SR,0.818,NA,990,42.222,98.333,Acla
GAM_RUN2_PA2,TSS,0.767,NA,229,86.667,89.667,Acla
GAM_RUN2_PA2,ROC,0.929,NA,230.5,86.667,90.333,Acla
GAM_RUN2_PA2,FAR,0.773,NA,962,40,98,Acla
GAM_RUN2_PA2,ACCURACY,0.928,NA,924,68.889,96.333,Acla
GAM_RUN2_PA2,SR,0.773,NA,962,40,98,Acla
MAXENT.Phillips_RUN3_PA2,TSS,0.766,NA,131,88.889,87.667,Acla
MAXENT.Phillips_RUN3_PA2,ROC,0.913,NA,131.5,88.889,87.667,Acla
MAXENT.Phillips_RUN3_PA2,FAR,0.742,NA,985,51.111,97.333,Acla
MAXENT.Phillips_RUN3_PA2,ACCURACY,0.916,NA,970,55.556,97,Acla
MAXENT.Phillips_RUN3_PA2,SR,0.742,NA,985,51.111,97.333,Acla
GLM_RUN3_PA2,TSS,0.807,NA,396,93.333,87.333,Acla
GLM_RUN3_PA2,ROC,0.945,NA,435.5,93.333,87.667,Acla
GLM_RUN3_PA2,FAR,1,NA,955,6.667,100,Acla
GLM_RUN3_PA2,ACCURACY,0.916,NA,775,82.222,93,Acla
GLM_RUN3_PA2,SR,1,NA,955,6.667,100,Acla
ANN_RUN3_PA2,TSS,0.808,NA,260,97.778,83,Acla
ANN_RUN3_PA2,ROC,0.946,NA,267,97.778,83.333,Acla
ANN_RUN3_PA2,FAR,1,NA,972,8.889,100,Acla
ANN_RUN3_PA2,ACCURACY,0.916,NA,819,84.444,92.667,Acla
ANN_RUN3_PA2,SR,1,NA,972,8.889,100,Acla
RF_RUN3_PA2,TSS,0.863,NA,101,100,86.333,Acla
RF_RUN3_PA2,ROC,0.976,NA,106.5,100,87,Acla
RF_RUN3_PA2,FAR,0.903,NA,965,62.222,99,Acla
RF_RUN3_PA2,ACCURACY,0.948,NA,710,80,97,Acla
RF_RUN3_PA2,SR,0.903,NA,965,62.222,99,Acla
